Date,Open,High,Low,Close,Volume,Count,WAP
20250620 09:30:00 US/Eastern,198.12,199.63,197.52,199.41,0,8350,0
20250620 09:35:00 US/Eastern,199.41,200.66,199.37,200.45,0,9864,0
20250620 09:40:00 US/Eastern,200.46,200.95,200.34,200.6,0,6746,0
20250620 09:45:00 US/Eastern,200.59,200.72,199.73,199.77,0,4401,0
20250620 09:50:00 US/Eastern,199.78,200.35,199.74,200.35,0,3323,0
20250620 09:55:00 US/Eastern,200.33,200.48,199.74,199.84,0,3133,0
20250620 10:00:00 US/Eastern,199.84,199.94,199.46,199.54,0,3081,0
20250620 10:05:00 US/Eastern,199.52,199.58,198.98,199.01,0,2233,0
20250620 10:10:00 US/Eastern,199.01,199.61,198.99,199.56,0,2378,0
20250620 10:15:00 US/Eastern,199.55,199.73,199.24,199.57,0,1954,0
20250620 10:20:00 US/Eastern,199.57,199.74,198.81,198.86,0,2140,0
20250620 10:25:00 US/Eastern,198.85,198.89,198.55,198.68,0,2357,0
20250620 10:30:00 US/Eastern,198.69,198.69,198.24,198.28,0,2104,0
20250620 10:35:00 US/Eastern,198.28,198.47,198.08,198.19,0,2390,0
20250620 10:40:00 US/Eastern,198.19,198.39,197.63,197.79,0,3125,0
20250620 10:45:00 US/Eastern,197.8,197.84,197.56,197.68,0,1910,0
20250620 10:50:00 US/Eastern,197.68,197.69,197.13,197.21,0,2283,0
20250620 10:55:00 US/Eastern,197.2,197.32,197.03,197.28,0,2256,0
20250620 11:00:00 US/Eastern,197.26,197.26,196.85,197.03,0,2216,0
20250620 11:05:00 US/Eastern,197.04,197.32,197.01,197.27,0,1604,0
20250620 11:10:00 US/Eastern,197.28,197.75,197.16,197.66,0,2338,0
20250620 11:15:00 US/Eastern,197.67,197.92,197.51,197.9,0,1494,0
20250620 11:20:00 US/Eastern,197.91,198.06,197.65,197.86,0,1779,0
20250620 11:25:00 US/Eastern,197.85,198.03,197.64,197.68,0,1004,0
20250620 11:30:00 US/Eastern,197.67,198.24,197.62,198.23,0,1361,0
20250620 11:35:00 US/Eastern,198.23,198.57,198.2,198.54,0,1662,0
20250620 11:40:00 US/Eastern,198.53,199,198.45,198.75,0,2194,0
20250620 11:45:00 US/Eastern,198.75,198.81,198.47,198.57,0,1185,0
20250620 11:50:00 US/Eastern,198.57,198.58,198.13,198.13,0,1514,0
20250620 11:55:00 US/Eastern,198.15,198.24,197.98,198.08,0,1732,0
20250620 12:00:00 US/Eastern,198.07,198.25,197.9,198.07,0,992,0
20250620 12:05:00 US/Eastern,198.07,198.28,198.06,198.28,0,682,0
20250620 12:10:00 US/Eastern,198.26,198.51,198.12,198.18,0,741,0
