date,APH,BAC,BKR,BMY,C,CARR,CMCSA,CMG,CNC,CPRT,CSCO,CSX,CTVA,CVS,D,DAL,EBAY,EQR,EQT,EW,EXC,F,FCX,FIS,GIS,GLW,GM,INTC,KDP,KHC,KMI,KR,LVS,MCHP,MDLZ,MNST,MO,NEM,O,OXY,PCG,PFE,PYPL,SLB,SRE,T,TFC,TSCO,USB,VICI,VTR,VZ,WFC,WMB,XEL
20240620,68.440000,39.990000,32.970000,41.040000,60.620000,64.220000,37.850000,64.290000,67.480000,54.010000,46.720000,33.310000,52.370000,61.000000,49.810000,49.610000,53.840000,67.850000,37.760000,88.840000,34.940000,11.940000,49.360000,76.480000,66.690000,39.850000,47.770000,30.620000,34.210000,32.640000,19.800000,50.280000,44.610000,89.020000,66.060000,48.680000,45.430000,42.810000,53.010000,62.440000,17.830000,27.740000,59.800000,45.460000,75.480000,18.110000,36.630000,56.050000,39.280000,28.080000,50.070000,40.240000,58.960000,42.400000,53.530000
20240621,68.730000,39.490000,32.930000,41.930000,59.990000,62.880000,38.480000,64.210000,67.930000,54.240000,47.290000,33.410000,52.920000,61.370000,49.210000,49.380000,54.150000,68.310000,36.970000,90.900000,34.780000,11.840000,49.560000,75.960000,67.080000,40.050000,47.720000,31.090000,34.380000,32.950000,19.710000,50.210000,45.910000,91.580000,66.510000,49.090000,45.740000,42.260000,53.150000,60.920000,17.660000,27.740000,60.610000,45.660000,75.270000,18.400000,36.790000,56.310000,39.700000,28.100000,50.420000,40.240000,58.100000,42.060000,53.370000
20240624,67.270000,40.020000,34.410000,42.230000,61.340000,64.630000,38.480000,63.870000,68.040000,54.900000,47.280000,33.210000,52.910000,61.730000,49.900000,49.400000,54.010000,69.190000,38.520000,90.170000,35.330000,12.230000,50.380000,75.550000,68.070000,39.900000,48.110000,30.570000,34.670000,33.210000,20.110000,50.020000,44.840000,89.180000,68.420000,49.490000,46.450000,42.600000,53.640000,63.250000,17.710000,28.360000,59.490000,47.480000,76.450000,18.650000,37.460000,55.470000,40.550000,28.430000,50.690000,41.170000,59.010000,43.110000,53.980000
20240625,67.960000,39.380000,34.850000,42.190000,61.580000,63.930000,38.400000,65.660000,67.650000,55.270000,47.380000,32.710000,53.040000,60.440000,49.190000,48.810000,53.950000,68.590000,38.550000,91.080000,34.820000,12.090000,49.880000,75.200000,67.260000,39.770000,46.410000,30.740000,34.410000,32.800000,20.100000,49.820000,44.370000,89.150000,67.850000,50.140000,46.420000,41.900000,52.920000,63.100000,17.600000,27.990000,59.330000,47.520000,75.440000,18.690000,37.050000,52.910000,40.020000,27.950000,49.890000,41.080000,57.200000,42.890000,53.740000
20240626,67.160000,39.000000,34.470000,42.500000,61.250000,62.860000,38.220000,65.860000,67.720000,54.630000,46.860000,33.010000,53.640000,60.630000,49.250000,48.180000,53.690000,68.020000,37.760000,91.560000,34.800000,12.110000,49.470000,74.990000,64.170000,38.280000,45.770000,30.540000,34.360000,32.320000,19.740000,49.380000,43.810000,90.050000,66.640000,50.460000,46.360000,41.450000,52.680000,62.870000,17.580000,27.420000,58.260000,46.230000,76.110000,18.760000,36.890000,53.400000,39.710000,27.990000,49.850000,41.020000,57.010000,42.290000,53.790000
20240627,67.490000,39.250000,34.420000,41.510000,61.550000,63.230000,38.280000,62.410000,67.370000,54.760000,47.450000,33.030000,53.650000,58.360000,49.610000,48.600000,53.050000,68.310000,37.280000,93.340000,34.700000,12.230000,48.320000,74.630000,63.710000,38.590000,45.580000,30.590000,34.120000,32.270000,19.760000,49.370000,44.140000,89.430000,66.600000,50.570000,45.460000,41.840000,52.430000,62.690000,17.480000,27.800000,58.370000,47.010000,75.940000,18.750000,37.840000,53.510000,39.680000,28.430000,50.810000,40.820000,57.420000,42.240000,53.850000
20240628,67.370000,39.770000,35.170000,41.530000,63.460000,63.080000,39.160000,62.650000,66.300000,54.160000,47.510000,33.450000,53.940000,59.060000,49.000000,47.440000,53.720000,69.340000,36.980000,92.370000,34.610000,12.540000,48.600000,75.360000,63.260000,38.850000,46.460000,30.970000,33.400000,32.220000,19.870000,49.930000,44.250000,91.500000,65.440000,49.950000,45.550000,41.870000,52.820000,63.030000,17.460000,27.980000,58.030000,47.180000,76.060000,19.110000,38.850000,54.000000,39.700000,28.640000,51.260000,41.240000,59.390000,42.500000,53.410000
20240701,67.520000,40.010000,34.940000,41.300000,63.430000,61.900000,38.170000,61.810000,65.340000,53.350000,47.520000,33.590000,53.070000,58.150000,48.010000,46.920000,52.680000,68.140000,36.690000,90.250000,34.550000,12.760000,48.410000,74.270000,63.300000,38.660000,46.680000,30.840000,32.840000,31.860000,19.790000,50.560000,42.880000,91.590000,65.240000,49.900000,46.030000,41.650000,52.360000,62.880000,17.170000,28.220000,57.810000,46.580000,74.970000,18.980000,39.250000,53.550000,39.240000,27.900000,50.880000,41.740000,60.590000,42.390000,52.430000
20240702,67.560000,40.930000,34.690000,40.450000,64.680000,62.830000,38.160000,61.400000,66.190000,54.690000,47.280000,33.760000,52.770000,57.520000,48.540000,46.710000,53.250000,68.200000,36.960000,91.230000,34.530000,12.870000,48.710000,75.230000,63.170000,38.390000,46.950000,31.070000,32.780000,32.000000,19.720000,50.430000,42.310000,92.060000,66.030000,49.340000,46.050000,41.710000,52.430000,62.360000,17.080000,27.830000,58.970000,46.690000,75.170000,18.820000,39.560000,53.210000,39.970000,27.770000,51.790000,41.100000,60.970000,42.300000,53.200000
20240703,67.790000,40.900000,34.470000,40.060000,64.460000,63.460000,38.050000,61.580000,66.760000,53.890000,47.090000,33.550000,52.480000,56.700000,49.210000,47.390000,52.610000,67.490000,37.040000,91.080000,34.730000,12.870000,50.650000,75.810000,63.080000,38.420000,46.710000,31.230000,32.720000,32.090000,19.960000,50.750000,42.550000,93.580000,66.340000,49.160000,45.950000,43.450000,52.450000,62.320000,17.220000,27.700000,59.640000,47.310000,75.170000,18.680000,38.870000,52.330000,39.510000,27.750000,51.820000,41.120000,60.660000,42.800000,52.750000
