date,BAC,C,CNC,CSX,CVS,DAL,FIS,TFC,USB,WFC
20240620,39.99,60.62,67.48,33.31,61,49.61,76.48,36.63,39.28,58.96
20240621,39.49,59.99,67.93,33.41,61.37,49.38,75.96,36.79,39.7,58.1
20240624,40.02,61.34,68.04,33.21,61.73,49.4,75.55,37.46,40.55,59.01
20240625,39.38,61.58,67.65,32.71,60.44,48.81,75.2,37.05,40.02,57.2
20240626,39,61.25,67.72,33.01,60.63,48.18,74.99,36.89,39.71,57.01
20240627,39.25,61.55,67.37,33.03,58.36,48.6,74.63,37.84,39.68,57.42
20240628,39.77,63.46,66.3,33.45,59.06,47.44,75.36,38.85,39.7,59.39
20240701,40.01,63.43,65.34,33.59,58.15,46.92,74.27,39.25,39.24,60.59
20240702,40.93,64.68,66.19,33.76,57.52,46.71,75.23,39.56,39.97,60.97
20240703,40.9,64.46,66.76,33.55,56.7,47.39,75.81,38.87,39.51,60.66
20240705,40.41,64.03,66.37,33.3,56.62,46.02,75.42,38.22,39.04,59.62
20240708,40.62,64.74,66.19,33.39,56.89,46.35,74.85,38.25,39.46,59.01
20240709,41.42,66.55,65.74,32.48,57.62,46.89,73.72,38.91,39.87,59.88
20240710,41.74,66.98,66.66,32.92,57.53,46.86,73.92,39.26,40.8,59.72
20240711,41.81,65.71,67.25,33.74,58.21,44.99,75.58,40.39,41.93,60.16
20240712,41.59,64.52,67.86,33.79,59,43.62,76.42,40.51,42.1,56.54
20240715,41.89,65.14,66,34.6,58.67,43,76.11,41.4,42.35,57.73
20240716,44.13,67.27,69.11,35.33,60.06,46.02,76.91,42.44,43.29,60.24
20240717,43.98,67.61,67.8,35.45,61.6,45.76,77.26,43.1,45.26,60.91
20240718,43.01,64.89,65.69,35.02,59.91,44.92,76.04,42.44,44.41,59.24
20240719,42.9,65.14,66.24,34.69,59.57,45.44,75.25,42.41,44.76,59.23
20240722,42.3,64.5,66.14,34.51,58.33,43.83,75.32,43.78,45.04,59.14
20240723,42.41,64.66,64.89,33.64,57.97,43.61,75.1,44.15,45.55,59.67
20240724,42.19,63.66,66.12,33.2,58.54,42.94,75.33,43.61,44.77,59.44
20240725,41.68,64.37,67.4,33.6,58.65,43.47,74.51,44.12,45.09,59.7
20240726,41.67,65.18,73.1,34.32,61,44.13,75.68,44.42,45.46,60.39
20240729,41.09,64.3,73.48,34.4,61.57,43.18,75.72,44.46,45.37,59.59
20240730,41.28,65.87,77.1,35.02,63.18,43.23,76.74,44.94,45.47,60.01
20240731,40.31,64.88,76.92,35.1,60.33,43.02,76.83,44.69,44.88,59.34
20240801,39.5,63.28,77.91,34.77,60.03,41.5,75.09,43.35,43.48,56.88
20240802,37.58,58.76,78.09,34.08,59.32,39.83,74.36,42.12,42.35,53.26
